ID	stn	co	start_dt	duration	number	acc_code
2397	033	006	2002-09-20 15:23:50	00:00:49	2099003	
2398	033	006	2002-09-20 15:24:52	00:00:16	89035943133	
2399	033	006	2002-09-20 15:25:24	00:00:11	89035943133	
2400	033	006	2002-09-20 15:25:48	00:00:30	43721246	
2401	033	006	2002-09-20 15:26:31	00:00:40	489035943133	
2402	033	006	2002-09-20 15:27:22	00:00:05	890459	
2403	026	004	2002-09-20 15:29:22	00:00:11	INCOMING	
2404	026	008	2002-09-20 15:31:43	00:00:50	INCOMING	
2405	035	004	2002-09-20 15:29:35	00:05:12	TRANSFER	
2406	021	005	2002-09-20 15:30:28	00:07:20	2812143	
2407	026	005	2002-09-20 15:37:54	00:00:14	INCOMING	
2408	026	004	2002-09-20 15:39:03	00:00:11	INCOMING	
2409	035	004	2002-09-20 15:39:16	00:00:51	TRANSFER	
2410	026	003	2002-09-20 15:42:39	00:00:12	INCOMING	
2411	026	004	2002-09-20 15:43:12	00:00:08	INCOMING	
2412	035	003	2002-09-20 15:42:53	00:01:04	TRANSFER	
2413	026	007	2002-09-20 15:44:03	00:00:55	INCOMING	
2414	029	006	2002-09-20 15:44:31	00:00:46	1590771	
2415	026	004	2002-09-20 15:45:27	00:00:11	INCOMING	
2416	035	004	2002-09-20 15:45:39	00:00:08	TRANSFER	
2417	026	005	2002-09-20 15:47:19	00:00:33	INCOMING	
2418	031	005	2002-09-20 15:47:54	00:00:57	TRANSFER	
2419	026	003	2002-09-20 15:49:07	00:00:18	INCOMING	
2420	025	007	2002-09-20 15:45:30	00:04:28	1341367	
2421	033	003	2002-09-20 15:49:26	00:00:36	TRANSFER	
2422	026	001	2002-09-20 15:50:00	00:00:14	INCOMING	
2423	032	001	2002-09-20 15:50:16	00:00:10	TRANSFER	
2424	026	007	2002-09-20 15:52:00	00:00:38	INCOMING	
2425	026	005	2002-09-20 15:53:25	00:00:17	INCOMING	
2426	033	005	2002-09-20 15:53:44	00:02:08	TRANSFER	
2427	022	006	2002-09-20 15:54:46	00:01:22	5526000	
